date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-16,Ecuador,Honduras,2,1,Friendly,0.7043859586353802,0.1922006832652599,0.10341335809935974,0
2024-06-16,Serbia,England,0,1,UEFA Euro,0.1776517472033302,0.23961101795809264,0.5827372348385772,2
2024-06-17,Austria,France,0,1,UEFA Euro,0.11960794347283965,0.20511571425998198,0.6752763422671784,2
2024-06-17,Romania,Ukraine,3,0,UEFA Euro,0.17289007290398176,0.23735025662171055,0.5897596704743076,0
2024-06-17,Belgium,Slovakia,0,1,UEFA Euro,0.8086029181085237,0.13790085046806289,0.05349623142341345,2
2024-06-18,Turkey,Georgia,3,1,UEFA Euro,0.39811244720486727,0.27582235482258,0.32606519797255273,0
2024-06-18,Portugal,Czech Republic,2,1,UEFA Euro,0.690363350129548,0.19854396648405406,0.11109268338639813,0
2024-06-18,New Zealand,Solomon Islands,3,0,Oceania Nations Cup,0.31971309284540733,0.2753604845428367,0.40492642261175604,0
2024-06-19,Germany,Hungary,2,0,UEFA Euro,0.6502886546809513,0.215421189770043,0.13429015554900567,0
2024-06-19,Scotland,Switzerland,1,1,UEFA Euro,0.20017329673611356,0.24916780511896955,0.5506588981449169,1
2024-06-19,Croatia,Albania,2,2,UEFA Euro,0.8139541707696947,0.13476424407181645,0.051281585158488754,1
2024-06-19,Papua New Guinea,Tahiti,1,1,Oceania Nations Cup,0.1259525238647568,0.20972057995608673,0.6643268961791566,1
2024-06-19,Fiji,Samoa,9,1,Oceania Nations Cup,0.7074237792331233,0.19079665388759356,0.10177956687928308,0
2024-06-20,Denmark,England,1,1,UEFA Euro,0.18640865770549103,0.24354351813536806,0.5700478241591411,1
2024-06-20,Argentina,Canada,2,0,Copa América,0.8357808240471096,0.12160155988293586,0.042617616069954595,0
2024-06-20,Spain,Italy,1,0,UEFA Euro,0.5138280431600348,0.25853893728230076,0.2276330195576645,0
2024-06-20,Slovenia,Serbia,1,1,UEFA Euro,0.27841458950496784,0.27029747086452843,0.45128793963050373,1
2024-06-21,Poland,Austria,1,3,UEFA Euro,0.2356912070382809,0.26086066479616005,0.5034481281655591,2
2024-06-21,Netherlands,France,0,0,UEFA Euro,0.2516203876157765,0.2649244409370449,0.48345517144717853,1
2024-06-21,Slovakia,Ukraine,1,2,UEFA Euro,0.2777554989551225,0.270186061742336,0.4520584393025412,2
2024-06-21,Vanuatu,New Zealand,0,4,Oceania Nations Cup,0.1670831257223483,0.23447144680897294,0.5984454274686788,2
2024-06-21,Peru,Chile,0,0,Copa América,0.42933418297204473,0.2731033470172498,0.29756247001070546,1
2024-06-22,Belgium,Romania,2,0,UEFA Euro,0.6632654789237009,0.2101595892890602,0.12657493178723883,0
2024-06-22,Georgia,Czech Republic,1,1,UEFA Euro,0.23667439074356983,0.2611314258526637,0.5021941834037663,1
2024-06-22,Turkey,Portugal,0,3,UEFA Euro,0.09769924612414174,0.1872021272553352,0.715098626620523,2
2024-06-22,Samoa,Papua New Guinea,1,2,Oceania Nations Cup,0.3465777390434911,0.2767778312350208,0.37664442972148804,2
2024-06-22,Fiji,Tahiti,1,0,Oceania Nations Cup,0.5136718742985498,0.2585749258712276,0.22775319983022269,0
